Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
DIS '25,Exploring the Potential of Metacognitive Support Agents for Human-AI Co-Creation,10.1145/3715336.3735785,Work & Creativity Support,"1. controlled the voice agent probes in the background to simulate different support strategies
2. had certain degrees of freedom in enacting the agent probes’ support strategies to explore broader design possibilities and implications in response to emerging situations during user sessions","Communication Control, System Logic Simulation Control",Not specified,"Adaptive Flexibility, Technical Limitation","1. ""As a result, our design insights are partially shaped by the individual wizards (the first author and four external experts), and repeating the study with different wizards may yield slightly different outcomes.""",Wizard Variability and Bias,"Creativity, Design",1. Motivation: “GenAI demands new (computational) workflows that require designers to work differently than they are used to or trained in. Current GenAI-supported workflows pose a set of unique cognitive challenges.”,Not specified,,,,
HRI '25,Exploring the Use of Smell in Social Interaction via Robot Avatars,,HRI,"1. manually triggered smell detection, and the smell corresponding to the source was emitted through a smell emitting device in front of the operator.",Embodied & Environmental Action Control,"1. “smell detection technology is not yet advanced enough for practical deployment on robots”
",Technical Limitation,"1. ""This study was conducted in a controlled laboratory setting, which may not fully reflect the complexities of real-world environments, such as busy cake shops, potentially leading to less natural participant behavior.""
2. ""Additionally, the food-related aromas were not highly realistic, limiting how closely they resembled actual cake smells.""",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
IUI '25,An Exploratory Study on How AI Awareness Impacts Human-AI Design Collaboration,10.1145/3708359.3712162,Work & Creativity Support,"1. observe and judge participants’ current design activities per 60-90 seconds from participants’ shared screen
2. filled in a prompt template, and together with the screenshot of the current working process on the canvas, will be sent to Wizard B
3. organizing participants’ input into prompts, receiving prompts from Wizard A, and sending these prompts to generative models","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation",1. “As the RQ pertains to a future system that does not exist yet”,"Alignment with Prior Work, Technical Limitation","- “First, the Wizards face severe time pressure to react rapidly and accurately to alleviate (not dismiss) negative efects caused by delays and human errors”
- “Second, the awareness function was artifcially fulflled by Wizard A, which inevitably mixed personal experience and was bias-prone.” 
+ “We tried to lower the impact from personal experience by judging the design activity according to an existing coding scheme exclusively [36], but the accuracy of the judgment might fuctuate in the process and between diferent experiments.”
+ wizard training",Temporal and Performance Constraints,"Augmenting Capabilities, Creativity, Design",1. leverage GPT-4 and DALLE to produce feedback and images,Wizard with LLM,,,,
AutomotiveUI '24,Only Trust a Hidden Wizard: Investigating the Effects of Wizard Visibility in Automotive Wizard of Oz Studies,10.1145/3640792.3675738,Automotive User Interfaces,1. controlled a remote-controlled automated vehicle to simulate an autonomous car in a pedestrian crossing study,Embodied & Environmental Action Control,Not specified,Not specified,Not specified,Not specified,Reliability & Validity of WoZ,Not specified,Not specified,,,,
CHI '24,How Do Data Analysts Respond to AI Assistance? A Wizard-of-Oz Study,10.1145/3613904.3641891,Work & Creativity Support,"1. Simulating an LLM-based data analysis assistant: ""Our wizard (Fig. 3) simulated an LLM-based data analysis assistant.""
2. Managing LLM interaction: ""The wizard managed the LLM interaction manually, drawing from a predefined list of answers to make planning and execution suggestions while participants carried out a data analysis task.""
3. Observing the analyst’s notebook to identify assistance opportunities and extract relevant context: ""The wizard observes the analyst’s notebook for opportunities for assistance and obtains the relevant notebook context (A).""
4. Retrieving prewritten suggestions or prompting the LLM to generate and refine relevant suggestions: ""Next, the wizard either retrieves a prewritten suggestion developed prior to the study (B) or prompts the LLM (C) to generate a relevant suggestion (D). The wizard may further refine the suggestion (e.g., shorten its length) with additional prompting of the LLM (C-D Loop).""
5. Presenting the suggestion to the analyst: ""Finally, after creating the suggestion, the wizard presents the suggestion back to the analyst (E).”","Pre-scripted Content Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. “our goals in this work are to better understand the design of such assistants rather than their implementation. Similarly, through this approach we are not limited by the capabilities of current LLMs (Sec. 2.2) or participants non-expert prompt engineering abilities [87, 125].”
2. “we chose to conduct our study with a single analysis task and dataset so we could prepare high-quality suggestions in advance. This helped us both ensure a high quality and rich diversity of suggestion content and timing while being only slightly slower than a fully automated approach.”","Adaptive Flexibility, Technical Limitation","1. ""To speed up the assistant's response time, we prepared a spreadsheet of suggestions.""
2. ""This helped us both ensure a high quality and rich diversity of suggestion content and timing while being only slightly slower than a fully automated approach.""",Temporal and Performance Constraints,Augmenting Capabilities,"1. In the WoZ study, the wizard simulated an LLM-based data analysis assistant.
2. For execution assistance and model-results interpretation, the study leveraged ChatGPT to generate suggestions, and the wizard sometimes manually corrected the output to ensure high-quality suggestions.",Wizard with LLM,,,,
TEI '24,Wizard of Props: Mixed Reality Prototyping with Physical Props to Design Responsive Environments,10.1145/3623509.3633395,"HCI Methods & Tools, Work & Creativity Support, XR/VR/AR",1. simulated responsive environment interactions through human manipulation of full-scale physical props synchronized with Mixed Reality content,Embodied & Environmental Action Control,"
  • ”WoP greatly improved the bodily and spatial awareness, which supported the interaction design to be in-situ and human-centered. As WoP provides an informal design stage, improvisational behaviors could emerge.“
  • ”We view the WoP’s environment as a stage where all participants become actors in a hybrid scene…which may occur and hinder the bodystorming process with novices.“","Adaptive Flexibility, Technical Limitation",Not specified,Not specified,"Augmenting Capabilities, Creativity, Design",Not specified,Not specified,,,,
CHI '24,Enhancing UX Evaluation Through Collaboration with Conversational AI Assistants: Effects of Proactive Dialogue and Timing,10.1145/3613904.3642168,Work & Creativity Support,"1. used ChatGPT to generate automatic usability problem suggestions
2. a human moderator served as the UX assistant to respond to impromptu questions","Communication Control, Wizard Collaboration & Mediation","  • “To account for this limitation, we adopted a hybrid Wizard of Oz approach, wherein ChatGPT generated usability problem suggestions, and a moderator addressed impromptu questions.”
  • “We adopted a hybrid approach, in which we used ChatGPT to generate automatic suggestions, …to circumvent technical limitations in prior research (e.g., [60, 63, 77]).”
  • “Our research has effectively employed a proactive CA to augment UX analysis. … it would be valuable to explore alternative methods that can create more realistic scenarios involving CAs.”","Alignment with Prior Work, Technical Limitation","1. ""the ideal delay duration may not be universally applicable.""
2. ""Individual differences, including analysis speed, prior experience in UX evaluation, and expectations regarding the response time of CAs, likely contributed to this variation.""",Temporal and Performance Constraints,"Augmenting Capabilities, Creativity","1. The study incorporated an LLM, specifically ChatGPT, to generate usability problem suggestions.",Wizard with LLM,,,,
CHI '24,HILL: A Hallucination Identifier for Large Language Models,10.1145/3613904.3642428,Multimodal & Emerging Interaction Techniques,1. simulated a ChatGPT-like system and its response-generation logic through a human wizard during prototype evaluation,System Logic Simulation Control,"  • ""We, first, conducted a WOz to instantiate and prioritize the features for an LLM interface enabling users to identify potential hallucinations."" 
  • ""To allow comparison between the prototypes, we included one feature per category in all prototypes. …We built upon the widely known interface of ChatGPT and imitated a question and corresponding LLM-generated response….We, therefore, generated three prototypes containing five to seven features each….The participants were shown the three prototypes in random order.”
  • “We concluded the nine WOz sessions with semi-structured interviews to evaluate the prioritization, usefulness, and usability of the features."" ","Adaptive Flexibility, Psychological Realism",Not specified,Not specified,Responsible Computing,1. The entire paper is LLM-related.,Wizard before LLM,,,,
CHI '24,Designing Accessible Obfuscation Support for Blind Individuals’ Visual Privacy Management,10.1145/3613904.3642713,Accessibility&Aging,NLP,"Communication Control, Pre-scripted Content Control","  • “To examine the capability of existing AI technologies in providing accessible visual obfuscation support …and one using Wizard-of-Oz, human-authored guidance.”
  • “Informed by blind users’ desire to control obfuscation decisions with manageable cognitive load …we implemented a Wizard-of-Oz version of the prototype.”","Controlling Confounds, Technical Limitation","+ ”“Two researchers collaboratively generated this ground truth information. Following image description best practices (as suggested by [17, 27, 57, 74, 83]), we decided on six object description rules” “",Not specified,Accessibility & Aging,Not specified,Not specified,,,,
CHI '24,Cooking With Agents: Designing Context-aware Voice Interaction,10.1145/3613904.3642183,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques",NLP,"Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control","“For this study, we followed a Wizard-of-Oz method to test the interaction with a context-aware VA….given to the wizard-operator of the VA: task vocabulary, recipe progression, and proactive suggestions.”",Controlling Confounds,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
