Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
UIST '24,Gait Gestures: Examining Stride and Foot Strike Variation as an Input Method While Walking,10.1145/3654777.3676342,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques, XR/VR/AR",1. used a Wizard-of-Oz prototype to demonstrate an AR interface controlled by gait gestures for ordering food and audio playback while walking,System Logic Simulation Control,“we use a Wizard-of-Oz approach for gesture recognition to simplify development and focus only on interaction design. This also avoids recognition quality confounds in a usability evaluation we conduct with the prototype.”,"Controlling Confounds, Cost-Efficiency",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '24,Light Bridge: Improving social connectedness through ambient spatial interaction,10.1145/3643834.3660689,Health&Well-being,"1.  monitored the subjects via cameras during the tests
2.  entered the positions into the software which then computed the light changes accordingly
3. equipped with a real-time control via a custom software created with TouchDesigner. In the software’s UI, both rooms and the positions of the lamps were shown. The wizard used gamepads to enter/track the movements of the subjects in the two rooms, while distance calculations for the Condition Light were performed",Embodied & Environmental Action Control,Not specified,Not specified,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
DIS '24,Development and translation of human-AI interaction models into working prototypes for clinical decision-making,10.1145/3643834.3660697,Health&Well-being,"1. simulated AI responses for each model and scenario through clinicians from the team
2. showed simulated patient insights and AI outputs in the prototype interface","Communication Control, Pre-scripted Content Control","  • “The Wizard of Oz approach strikes a balance between fidelity and feasibility, leading to robust and user-centric prototypes.”
  • “We chose this approach for prototype development … much earlier on in the development process. This approach allows us to consider different human-AI configurations before requiring fully functioning AI systems.”
  • “While some concerns have been raised about the user of Wizard of Oz …and as long as participants are fully debriefed afterwards.”","Cost-Efficiency, Psychological Realism, Technical Limitation","1. ""While some concerns have been raised about the use of Wizard of Oz ... we argue that some level of deception is acceptable ... as long as participants are fully debriefed afterwards.""",Deception,Well-being & Health,Not specified,Not specified,,,,
TEI '24,SuspenderMender - Designing for a Shared Management of Anxiety in Higher Education Context Through a Pair of Wearables Simulating Physical Touch,10.1145/3623509.3633393,"Health&Well-being, Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Augmenting Capabilities, Well-being & Health",Not specified,Not specified,,,,
C&amp;C '24,Perceptions of Interaction Dynamics in Co-Creative AI: A Comparative Study of Interaction Modalities in Drawcto,10.1145/3635636.3656202,"HRI, Work & Creativity Support","1. responds with a stroke, selecting a design principle for the explanation, which is transmitted back to the participant.","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","1. ""allows us to focus on understanding the dynamics of interaction and perception”
2. “In the robot interface, strokes drawn on paper are captured by a camera and digitally processed with edge detection algorithms, often leading to information loss or altered digital representations of the strokes.”
3. “even a deterministic AI agent, like the grammar agent with a preset decision tree, reacted differently to strokes on paper versus digital canvas. To tackle this and ensure consistency across modalities”","Controlling Confounds, Technical Limitation","1. ""Prioritizing AI response consistency, using a Wizard of Oz approach might have led to variations in responses from different 'wizards' despite efforts to standardize through practice sessions.""",Wizard Variability and Bias,"Augmenting Capabilities, Creativity, Design",Not specified,Not specified,,,,
C&amp;C '24,Exploring the Potential for Generative AI-based Conversational Cues for Real-Time Collaborative Ideation,10.1145/3635636.3656184,Work & Creativity Support,"1. listened to the ideating conversations, typed, and sent out different text-based conversational cues","Communication Control, System Logic Simulation Control","1. “Inspired by prior work leveraging the Wizardof-0z technique to study cooperation or collaboration in GUI design [47], pedagogical methodology [37], conversational agents [69], live immersive embodied storytelling environments [24], and iterative design workflows”",Alignment with Prior Work," - ”Facilitators face challenges when using the WOZ method, such as difficulty in sending prompts in a timely manner (needing to keep up with the discussion while avoiding repetition, which is particularly challenging for those with slow typing speeds), a lack of domain-specific knowledge (making it hard to provide valuable prompts when conversations delve deeper or involve new fields), and difficulties in phrasing prompts (requiring attention to spelling and grammatical errors to maintain anonymity, which poses greater challenges for non-native English speakers).“",Temporal and Performance Constraints,"Augmenting Capabilities, Creativity","1. motivation: “Given the difficulty of facilitating brainstorming, or even finding skilled facilitators, to what extent could (or should) Gen AI (Generative AI) play a role in supporting verbal ideation sessions? Large language models are now capable of quickly comprehending and generating language on the fly [19, 59, 71], but they typically require significant attention and iteration to glean valuable outputs [75]. To understand the potential role and desired interactions with Gen AI, our research explores how ideators react to different conversational cues.”",Not specified,,,,
C&amp;C '24,When to Give Feedback: Exploring Tradeoffs in the Timing of Design Feedback,10.1145/3635636.3656183,Work & Creativity Support,1. continuously identified all prominent issues as described by our feedback framework once participants completed a skeleton design,"Communication Control, System Logic Simulation Control","1. “allowed the users—who assumed interventions to be computational—to request feedback without the typical social stresses”
2. “enables empirically understanding the values and pitfalls”
3. “avoid conflating results with algorithmic inaccuracies”","Controlling Confounds, Psychological Realism",Not specified,Not specified,"Creativity, Design",Not specified,Not specified,,,,
DIS '24,Body Language for VUIs: Exploring Gestures to Enhance Interactions with Voice User Interfaces,10.1145/3643834.3660691,Multimodal & Emerging Interaction Techniques,"1. responded to participants' voice commands through Text-to-Speech or pre-generated audio
2. monitored participants and controlled the assistant's responses behind the scenes","Communication Control, Pre-scripted Content Control, System Logic Simulation Control","
  • “Emerging technology that is challenging to prototype [9, 37, 60]”
  • “observe and abstract common gestures when using multi-modal VUIs for common scenarios and tasks in simulated environments.”
  • “understand users’ genuine preferences and concerns regarding 'voice + gesture' interaction. WoZ ensures seamless interaction and establishes a safe experimental environment.”","Alignment with Prior Work, Technical Limitation","1. ""a potential bias may exist in that the wizard inadvertently emphasized the importance of gestures by providing incorrect responses in noisy conditions.""
2. ""To mitigate this, the wizard consistently provided accurate responses from the second trial for both gesture and voice inputs.""",Temporal and Performance Constraints,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '24,How People Prompt Generative AI to Create Interactive VR Scenes,10.1145/3643834.3661547,"Work & Creativity Support, XR/VR/AR","
1. Altering System State: ""Participants experienced the system as if it was a fully-functional system; in fact, it was a Wizard of Oz protocol, where the state of the system was changed by a second experimenter."" This indicates that one of the wizard’s primary responsibilities was to modify the system state, enabling participants to perceive the system as fully functional.
2. Operating a Custom Application to Control the VR World: ""In both cases, the second experimenter changed the state of the VR world via a laptop PC. The laptop used a custom node.js application which controlled the state of the VR world. This state change had no latency (beyond the experimenter pressing the button). The application presented a GUI control panel that allowed the experimenter to change to any hard coded scene and step in the entire protocol at the press of a button."" This demonstrates that the wizard manipulated the custom node.js application through the GUI control panel to dynamically update the VR environment and advance the experimental protocol.","Embodied & Environmental Action Control, Pre-scripted Content Control","  • ""To account for this limitation, we adopted a hybrid Wizard of Oz approach, wherein ChatGPT generated usability problem suggestions, and a moderator addressed impromptu questions.""
  • ""To account for this limitation, we adopted a hybrid Wizard of Oz approach, wherein ChatGPT generated usability problem suggestions, and a moderator addressed impromptu questions.""
  • ""This approach has historically been employed to circumvent technical limitations in prior research (e.g., [60, 63, 77]).""
  • ""Providing responses to impromptu questions did not interfere with the investigation of the timing of automatic suggestions since the quality of responses remained consistent across all conditions.”","Psychological Realism, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,"1. The Wizard-of-Oz stage of the study did not involve LLMs; the wizard used a custom application to control the VR world's state and simulate system responses.
2. LLMs were used later in the Ostaad prototype that was designed from those findings, where the LLM handled user input, task generation, and code generation.",Wizard before LLM,,,,
AutomotiveUI '23,A Real Bottleneck Scenario with a Wizard of Oz Automated Vehicle - Role of eHMIs,10.1145/3580585.3607173,Automotive User Interfaces, hidden under a car seat costume similar to Rothenbücher et al. [62]. Stickers indicating automated driving were placed on the sides and the hood of the car,"Embodied & Environmental Action Control, System Logic Simulation Control","“Due to the lack of access to AVs, and the safety-critical nature of the tested scenarios, it was ethically impossible to conduct such an experiment in an uncontrolled environment.”","Ethical & Safety Constraints, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '23,Prototyping Autonomous Vehicle Windshields with AR and Real-Time Object Detection Visualization: An On-Road Wizard-of-Oz Study,10.1145/3563657.3596051,"Automotive User Interfaces, XR/VR/AR","1. the driving wizard directly controlled the vehicle's driving actions (e.g., steering, acceleration, and braking) while following a conservative, relaxed professional driver style
2. the interaction wizard assisted with complex environmental situations, such as monitoring vulnerable road users during right turns","Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “driverless rides in complex urban environments remain limited and mostly only feasible under restricted conditions (e.g., in terms of specific test tracks and scenarios, speed limitations, legal regulations, or requiring constant human supervision).”
2. “It enables automated system evaluation prior to their actual availability [3] and can go beyond the limitations of laboratory contexts”","Alignment with Prior Work, Ethical & Safety Constraints, Psychological Realism",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '23,“Where is history”: Toward Designing a Voice Assistant to help Older Adults locate Interface Features quickly,10.1145/3544548.3581447,"Accessibility&Aging, Mobile Ubiquitous & Wearable Computing","1.  listen to the speech input and highlight up to three relevant UI components on the participants’ current screen - to emulate interaction with our proposed voice assistant
2. provided user feedback to confirm a successful query delivery with an audio notification tone",System Logic Simulation Control,"Although our best-performing algorithm achieved an F1 score of 0.8 and an accuracy of 85%, we opted for the Wizard-of-Oz (WoZ) method in a design probe study to gather feedback on our design concepts free from current technical constraints.","Technical Limitation","+ ”To minimize the wizard’s response time, we created a set of possible questions for each task before the experiment and used our algorithm to pre - identify the relevant UI components (Section 4.1).“",Not specified,"Accessibility & Aging, Augmenting Capabilities",Not specified,Not specified,,,,
CHI '23,MathKingdom: Teaching Children Mathematical Language Through Speaking at Home via a Voice-Guided Game,10.1145/3544548.3581043,Education&Learning,"• Controlling game flow: In the WoZ version of the game, all components except the game progression were fully implemented. During the experiment, one researcher sat near the child and parent to observe behavior and provide necessary interventions, while another researcher remotely controlled the game progression.• Simulating voice agent dialogue: The voice agent’s dialogue flow was designed as a WoZ experimental script, converted to speech using Tencent Cloud’s Text-to-Speech (TTS) library, and played to participants at designated dialogue nodes.• Controlling appearance transformations of geometric-shape characters: During the game’s second phase—though the system could map the child’s movements—the shape transformations of the geometric-shape characters were manually controlled by the researcher (wizard).","Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Education,Not specified,Not specified,,,,
CHI '23,Competent but Rigid: Identifying the Gap in Empowering AI to Participate Equally in Group Decision-Making,10.1145/3544548.3581131,Work & Creativity Support,“The wizard can only control AESER asking or answering questions based on a limited number of pre - defined rules.”,"Communication Control, Pre-scripted Content Control","1. “As current speech technology cannot perfectly follow real-time human discussions [52], we adopt a wizard-of-oz design, similar to previous research studying human-AI collaboration [30, 82], but constrained by the real ability of a deep learning model.”
2. “We simulated how AESER, if fully automated, would interact with humans in a realistic setting by developing a constrained wizard-of-oz protocol [75]. Similar to prior works [44, 76, 83], conversation-related functions, such as speech recognition, natural language understanding, and response generation, are enabled by a human wizard by following well-calibrated protocol (e.g., Tab. 2).”","Alignment with Prior Work, Technical Limitation",Not specified,Not specified,"Augmenting Capabilities, Education",Not specified,Not specified,,,,
CHI '23,Exploring Chart Question Answering for Blind and Low Vision Users,10.1145/3544548.3581532,"Accessibility&Aging, Work & Creativity Support","Responding to participants' queries: Drawing on examples from prior chart-based QA systems, two query types were anticipated—those concerning visualizations and those regarding underlying data. For visualization-related queries, pre-prepared information (e.g., chart types, visual elements) was utilized; for underlying data-related queries, Calliope was employed to generate diverse data-driven facts to address participants' inquiries.","Communication Control, Pre-scripted Content Control","“We chose the Wizard of Oz methodology to focus on defining the range of interactions of the user, while offering a realistic setting that induces natural interaction [16, 20].”","Psychological Realism",Not specified,Not specified,Accessibility & Aging,Not specified,Not specified,,,,
CHI '23,Collaboration with Conversational AI Assistants for UX Evaluation: Questions and How to Ask them (Voice vs. Text),10.1145/3544548.3581247,Work & Creativity Support,1.  acted as the AI assistant by responding to the questions from participants.,Communication Control,"1. “As it is still challenging to leverage state-of-the-art AI algorithms to accurately detect usability problems and provide natural language responses [17], we adopted a Wizard of Oz design to simulate conversational agents so that we could better focus on answering our research questions.”
2. “Wizard of Oz has been commonly used to circumvent technical limitations in prior research (e.g., [50, 53, 63]).”","Alignment with Prior Work, Technical Limitation","1. ""In order to respond to participants as quickly as possible, the moderator had access to the transcript and a list of usability problems for the videos, as well as other features with the associated timestamps that were generated by prior analysis.""",Temporal and Performance Constraints,"Augmenting Capabilities, Creativity",Not specified,Not specified,,,,
CHI '23,Identifying Multimodal Context Awareness Requirements for Supporting User Interaction with Procedural Videos,10.1145/3544548.3581006,Work & Creativity Support,"1. emulated an ideal HFIAI system that could provide the participant any relevant functionality to help them complete steps (e.g., video navigation, cooking reminders, answering questions about ingredient amounts, etc.).","Communication Control, System Logic Simulation Control","1. “ we could understand the needs of a user without current technological restraints (e.g., inaccurate computer vision) and support complex language and environment understandings. In turn, we may understand design implications to inform future designs.”","Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
HRI '23,"Hmm, You Seem Confused! Tracking Interlocutor Confusion for Situated Task-Oriented HRI",10.1145/3568162.3576999,HRI,1. followed the scripted dialogue for each condition to provide stimuli that either induced confusion or allowed participants to complete the task smoothly,"Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CUI '23,Trustworthy Embodied Conversational Agents for Healthcare: A Design Exploration of Embodied Conversational Agents for the periconception period at Erasmus MC,10.1145/3571884.3597128,Health&Well-being,"1. followed a scripted series of questions and answers defined by the researchers and the nurse involved in the experimental sessions
2. provided the questions and answers either textually for the chatbot or verbally for the embodied conversational agent
3. responded to unexpected questions, and redirected participants to a nurse or obstetrician when specific clinical knowledge was required","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control","1. “allows participants to envision the intended future interactions [44] and elicits much more complete information compared to other prototyping techniques as it may deliver a close-to-complete specification of the intended system [2, 50].”",Not specified,"- “As Breazeal et al. [7] observe in the case of social robotics, relying on the capabilities of the wizard may lead research to bypass errors and technical limitations that would significantly impact the actual development of such systems”
+ “we recommend researchers include error mitigation strategies in the protocol, e.g., a sentence justifying why there was a delay in the response, so that the person interacting with the ECA may perceive it as competent despite the error”",Not specified,Well-being & Health,Not specified,Not specified,,,,
CUI '23,RoboClean: Contextual Language Grounding for Human-Robot Interactions in Specialised Low-Resource Environments,10.1145/3571884.3597137,HRI,"The Wizard controlled the robot according to the app's functions, which were 'start cleaning everything', 'clean a pre-programmed zone', 'pause', 'stop', and 'return to base'.","Embodied & Environmental Action Control, System Logic Simulation Control","1. Prior work has demonstrated WOz studies as a viable intermediate step in automated robot development",Alignment with Prior Work,"The Wizard's actions were constrained to ensure that their 'human intelligence [did not] stray too far beyond the performance of the future system' [16]",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
CUI '23,Chatting About Data - Interacting with Voice Interfaces to Engage with Election Panel Data,10.1145/3571884.3597126,Work & Creativity Support,send messages to the chatbot via the server,"Communication Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
HRI '23,Crafting with a Robot Assistant: Use Social Cues to Inform Adaptive Handovers in Human-Robot Collaboration,10.1145/3568162.3576998,HRI,"1. identify the appropriate timing for initiating and completing each handover episode, to identify the appropriate OTP, and to evaluate the quality of a handover episode
2. controlled the robot using a hand-held controller and a computer interface
3. evaluate the quality and specify the nature of the participant-robot handover","Embodied & Environmental Action Control, System Logic Simulation Control",”This allows us to understand what social cues people express during HRC and how these social cues can be used to achieve adaptive handovers applicable to autonomous robots.“,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
IDC '23,Big Buddy: Exploring Child Reactions and Parental Perceptions towards a Simulated Embodied Moderating System for Social Virtual Reality,10.1145/3585088.3589374,"Education&Learning, XR/VR/AR","1. When in-game disruptions occur (e.g., a virtual character destroying the tower built by the participant), Big Buddy implements corresponding intervention measures according to the assigned experimental conditions.
2. Big Buddy announces these punitive measures via synthesized voice (generated audio), with the penalty content simultaneously displayed in speech bubbles.","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,"Augmenting Capabilities, Education",Not specified,Not specified,,,,
IDC '23,Designing Parent-child-robot Interactions to Facilitate In-Home Parental Math Talk with Young Children,10.1145/3585088.3589358,"Education&Learning, HRI",the wizard controlled the timing of when the robot would raise its hand as well as what it would ask when the family engaged with it. The wizard also recognized the different plastic foods the family interacted with as well as the quantity of each object,"Communication Control, Embodied & Environmental Action Control",Not specified,Not specified,Not specified,Not specified,"Augmenting Capabilities, Education",Not specified,Not specified,,,,
DIS '23,"Designing an Interaction Concept for Assisted Cooking in Smart Kitchens: Focus on Human Agency, Proactivity, and Multimodality",10.1145/3563657.3595975,Mobile Ubiquitous & Wearable Computing,"“The wizard acts as the assistant and controls every multimodal component and smart function to mediate the recipe, instructions, and hints by observing and processing the participants’ verbal accounts, tool use, and current recipe steps.”","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","1. ""we developed the prototype to be operated in a Wizard-of-Oz fashion, instead of an early functional full development.""
2. ""The Wizard-of-Oz methodology employed in the evaluation facilitated a focus on qualitative user research instead of software implementation.”","Cost-Efficiency",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
HRI '23,Investigating the Integration of Human-Like and Machine-Like Robot Behaviors in a Shared Elevator Scenario,10.1145/3568162.3576974,HRI,"  1. control the elevator：“For each waiting behavior condition (Human-Like or Machine-Like) four scenarios were designed for the robot... the Wizard would call the elevator through the Switchbot device once the robot reaches the waiting position, unless it has been called by the participant, hold the door while the robot enters, and select the second floor once the robot is inside.”
2.  trigger the Stepping-in intent ：“In the Stepping-in scenarios, when the robot needed to claim priority, the researcher would trigger the Stepping-in intent as soon as the elevator is visible through the glass doors... In the Yielding scenarios, when the robot would give priority, the researcher would trigger the yield intent when the elevator was approximately 1m away.”
3. monitor that there were no issues with the robot:“They were also informed that the second researcher acting as the Wizard and sitting next to the elevator was there only to monitor that there were no issues with the robot.”","Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,"1. ""In a scenario in which timing is a key factor, even small delays could have an impact on the way intents were understood.""
2. ""Wizard-of-Oz experiments have intrinsic limitations resulting from variations between researchers and even with the same researcher.""
3. ""in some cases we experienced delays between the researcher sending the command and the robot taking action.""
4. ""While we aimed to define a clear protocol, variations could still occur across experiments.""","Temporal and Performance Constraints, Wizard Variability and Bias",Augmenting Capabilities,Not specified,Not specified,,,,
IUI '23,Don’t fail me! The Level 5 Autonomous Driving Information Dilemma regarding Transparency and User Experience,10.1145/3581641.3584085,Automotive User Interfaces,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
HRI '23,Designing Robot Sound-In-Interaction: The Case of Autonomous Public Transport Shuttle Buses,10.1145/3568162.3576979,"Automotive User Interfaces, HRI",1. play sounds in moments when they felt relevant or necessary,Embodied & Environmental Action Control,Not specified,Not specified,Not specified,Not specified,"Augmenting Capabilities, Responsible Computing",Not specified,Not specified,,,,
HRI '22,Costume vs. Wizard of Oz vs. Telepresence: How Social Presence Forms of Tele-operated Robots Influence Customer Behavior,,HRI,"1. used voice-conversion technology to simulate the robot's voice for natural communication with customers
2. remotely controlled the robot's movements through a dedicated control interface
3. proactively promoted recipes and distributed supermarket recipe flyers to potential customers","Communication Control, Embodied & Environmental Action Control","1. “Because current voice recognition technology still has trouble recognizing casual conversations, especially in real scenarios where the environment can be noisy, tele-operated robots have become a promising solution, as the human operator supports the natural language communication tasks and the system’s decision-making activities.”
2. “people who did not recognize the existence of the human operator rated the service higher than the customers who did”, “the customers who did not realize the existence of the human operators rated the service high and enjoyed talking with the robots”","Psychological Realism, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '22,“Rewind to the Jiggling Meat Part”: Understanding Voice Control of Instructional Videos in Everyday Tasks,10.1145/3491102.3502036,Mobile Ubiquitous & Wearable Computing,"1. played the instructional video and shared their screen with each participant
2. pause the video to listen","Embodied & Environmental Action Control, Pre-scripted Content Control","1. “To understand user expectations and requirements in a natural environment yet without the limitations of current commercial speech technology”
2. “allows us to gain a more thorough understanding of user requirements, without the constraints on query formulation placed by the limitations of commercial speech technologies.”","Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '22,"Situational Recommender: Are You On the Spot, Refining Plans, or Just Bored?",10.1145/3491102.3501909,"Mobile Ubiquitous & Wearable Computing, Work & Creativity Support","1. had control over the state of the situator
2. proactively detect situation","Pre-scripted Content Control, System Logic Simulation Control","1. “the Wizard-of-Oz method helped us to convey this proactive nature of the recommender system to our participants”
2. “To ensure more control during the experiment”","Adaptive Flexibility, Controlling Confounds",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '22,"Analyzing Deaf and Hard-of-Hearing Users’ Behavior, Usage, and Interaction with a Personal Assistant Device that Understands Sign-Language Input",10.1145/3491102.3501987,Accessibility&Aging,"“voiced” into spoken English by an interpreter who had remained unseen by the participant, to make it appear as if the Alexa device itself had understood the sign - language command",Communication Control,"1. “However, no current system can accurately understand sign-language commands, despite misleading media reports based on non-robust demos, as discussed in [3, 5, 7, 14].”
2. “When faced with the opportunity to actually interact with a personal assistant device in sign language, the way in which users may behave and how they would construct commands in sign language may differ, as compared to how they might imagine doing so hypothetically.”
3. “The authors [Mande et al. [17]] called for future HCI researchers to implement a working prototype or interactive Wizard-of-Oz set-up so that users would have frst-hand experience trying various wake-up interactions.”","Alignment with Prior Work, Psychological Realism, Technical Limitation",Not specified,Not specified,Accessibility & Aging,Not specified,Not specified,,,,
CHI '22,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,10.1145/3491102.3501972,Work & Creativity Support,"1. operated Tableau to generate visualizations
2. provided text or voice responses based on a template of responses","Communication Control, Pre-scripted Content Control, Wizard Collaboration & Mediation",Not specified,Not specified,"+ “We used a dual-wizard protocol to reduce difficulty of the wizard role.”
- “Given that the responses were manually generated by the wizard, there was no built-in logic for ambiguous and underspecified utterance handling or repair. Instead, participants were asked to restate a modified follow-up utterance if the response was not what they expected (DP5, DP6)”",Wizard Variability and Bias,Augmenting Capabilities,Not specified,Not specified,,,,
CUI '22,Cross-Modal Repair: Gaze and Speech Interaction for List Advancement,10.1145/3543829.3543833,Multimodal & Emerging Interaction Techniques,"1. control the device’s actions.
2. sat in an adjacent room, watching through a high definition video call with the view of the participant and Tama, and controlled the system’s speech output and gaze feedback","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","1. “To ensure that the experiment wasn’t confounded by speech recognition or gaze detection errors, we used a human wizard to control the output of the system [52].”","Controlling Confounds, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
UIST '22,FLEX-SDK: An Open-Source Software Development Kit for Creating Social Robots,10.1145/3526113.3545707,"HCI Methods & Tools, HRI","1. chose from a set of preset utterances or typed custom responses using the WoZ tool
2. set the robot's current face by clicking the desired face in the interface","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control","“For instance, if the interaction requires the robot to perceive the environment or understand human speech at a level that is currently not possible to do reliably with autonomy.”",Technical Limitation,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
UIST '22,InterWeave: Presenting Search Suggestions in Context Scaffolds Information Search and Synthesis,10.1145/3526113.3545696,Work & Creativity Support,"1. observes how users search and add content to notes
2. has the ability to recommend pre-assembled query suggestions at the appropriate level of the emergent sensemaking structure
3. selects where to place these suggestions within the searcher’s emerging sensemaking structure",System Logic Simulation Control,"1. “Since the wizard had gained knowledge in each area and was assisted by NLP algorithms that summarize the searcher’s activities, it is easier for the wizard, compared to current state-of-the-art information retrieval and machine learning algorithms, to…”
2. “As there are many individual differences across how people make sense and work on complex, exploratory information goals”
3. “quickly test and gain insights about this interaction mechanism without committing to extensive coding and development”","Adaptive Flexibility, Cost-Efficiency, Technical Limitation","1. ""the guidance was not always aligned with their thought process which some participants found distracting. This concern was highlighted not only by the participants, but also by the wizard.""
2. ""Lastly, so as to not bias the wizard, the wizard does not know whether the searcher is seeing the InterWeave or the other experimental condition.""",Wizard Variability and Bias,"Augmenting Capabilities, Communication & Writing",Not specified,Not specified,,,,
DIS '22,Addressing Hiccups in Conversations with Recommender Systems,10.1145/3532106.3533491,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","• Selecting the appropriate action (dialogue strategy): The wizard selects the suitable action based on the user’s most recent utterance (Natural Language Understanding, NLU), the dialogue history between the user and the wizard (dialogue state), and the available restaurant recommendation information (knowledge base).• Sending multimodal messages: The wizard conducts dialogue using human-like language and synthesized speech (Mozilla TTS), delivering multimodal messages to the user (Natural Language Generation, NLG). These messages integrate voice interaction and text with clickable options, presented in a format consistent with contemporary commercial conversational agents (e.g., Alexa and Google Assistant).","Communication Control, System Logic Simulation Control","“because building our own Task-Oriented Dialogue System [27] [79] would require training data that does not exist yet and require extensive data collection and annotation campaigns [33], thus it would exceed the scope of our study”","Cost-Efficiency, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '22,Let's Go to the Mall: Investigating the Role of User Experience in Customers’ Intention to Use Social Robots in a Shopping Mall,10.1145/3532106.3533490,HRI,"
1. Controlling the robot-customer interaction process: When a customer approaches the robot, the human operator (wizard) initiates a welcome message and asks whether assistance is needed; based on the customer’s response, the operator attempts to resolve issues while modulating the conversation’s duration, depth, and informational content.
2. Operating the robot’s movements and verbal output: Through a custom-developed user interface, the operator freely controls the robot’s motion, triggers animations, and executes German text-to-speech (TTS) outputs.
3. Perceiving the environment and customer queries: Using the robot’s camera and microphone, the operator monitors the surroundings and receives customer inquiries in real time.
4. Sustaining conversation flow: To maintain natural dialogue progression, the operator is equipped with a shopping mall layout map and consults Google Search as needed to retrieve detailed product information.","Communication Control, Embodied & Environmental Action Control","1. “The development of functional behavior in general requires a lot of coding and time effort, before the user can interact with the robot to provide feedback.”
2. “users can express their thoughts and perceptions immediately in situ to prevent responses biased by a time gap”","Controlling Confounds, Cost-Efficiency",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
TEI '22,Performative prototyping in collaborative mixed reality environments: an embodied design method for ideation and development in virtual reality.,10.1145/3490149.3501316,"Work & Creativity Support, XR/VR/AR","1. functioned as puppeteers, performing the MR space in interaction with the participants and other performers
2. controls to trigger virtual light, sound, locomotion schemes, and world transitions",Embodied & Environmental Action Control,"“Traditionally WoZ in HCI can be used to create flexibility while user-testing, or as Dahlbäck et al. formulate, 'the interaction is mediated by a human operator, the wizard, with the consequence that the subject can be given more freedom of expression' [11:259].”",Adaptive Flexibility,"1. ""many of the struggles, confusion, and discomfort ... are related to their inexperience as designers.""
2. ""Thus the different forms of bodystorming need to be practiced as well as evaluating them dramaturgically.""",Wizard Variability and Bias,"Augmenting Capabilities, Creativity",Not specified,Not specified,,,,
